,Price,Year,Make,Model,Kilometres
320,59226,2022,ford,f-150 lightning,18000
321,67388,2016,dodge,charger,55240
322,129000,2023,cadillac,escalade,14500
323,25569,2022,hyundai,kona,57001
324,30750,2018,tesla,model 3,71685
325,26998,2022,honda,hr-v,66133
326,45975,2021,toyota,tacoma,49449
327,58695,2023,jeep,grand cherokee,25321
328,57209,2024,dodge,hornet,20
329,27777,2020,mercedes-benz,a-class,59000
330,17950,2016,mercedes-benz,cla,135250
331,70120,2025,infiniti,qx60,25
332,59688,2022,toyota,tacoma,32000
333,27995,2017,chevrolet,silverado 1500,175000
334,111300,2024,chevrolet,corvette,6359
335,56688,2023,jeep,grand cherokee l,14189
336,39992,2021,bmw,4 series,80900
337,23487,2020,kia,sorento,76432
338,27488,2020,audi,a4,74383
339,49888,2021,bmw,4 series,80883
340,72644,2024,jeep,grand cherokee l,18
341,37825,2021,chevrolet,silverado 1500,63365
342,57899,2023,land rover,range rover evoque,4431
343,20995,2018,volvo,s90,125135
344,121900,2024,audi,sq8,6654
345,59899,2023,audi,sq5,38433
346,37995,2024,kia,sportage,12714
347,25450,2019,honda,cr-v,125410
348,22995,2019,dodge,grand caravan,111586
349,22903,2018,chevrolet,colorado,204922
350,42995,2024,chevrolet,equinox,6
351,58911,2022,ram,1500,11206
352,58911,2022,infiniti,q60,11206
353,58911,2022,volvo,v60 cross country,11206
354,58911,2022,toyota,venza,11206
355,58911,2022,hyundai,tucson,11206
356,58911,2022,lincoln,corsair,11206
357,58911,2022,mercedes-benz,gla,11206
358,58911,2022,gmc,canyon,11206
359,58911,2022,toyota,sienna,11206
360,58911,2022,mercedes-benz,gla,11206
361,59045,2024,kia,telluride,5
362,60732,2023,mercedes-benz,glb,14338
363,90488,2024,bmw,x5,8253
364,25977,2018,volkswagen,golf r,122010
365,34988,2022,chrysler,300,79853
366,178888,2024,chevrolet,corvette,15
367,54245,2024,audi,q5,8879
368,62415,2024,ford,f-150,18
369,12794,2012,infiniti,ex,224314
370,78999,2020,ford,f-350,22704
371,79995,2023,jeep,grand cherokee,1000
372,75755,2024,ram,1500,28
373,119994,2002,dodge,viper,17357
374,48995,2022,chevrolet,silverado 1500,39893
375,26877,2016,mercedes-benz,gl-class,157840
376,48770,2023,infiniti,qx60,19840
377,11995,2015,volkswagen,jetta,69299
378,22998,2022,honda,hr-v,28112
379,22995,2017,acura,tlx,83662
380,17989,2017,toyota,corolla im,56596
381,45794,2023,acura,rdx,31292
382,16750,2020,hyundai,elantra,99109
383,69600,2024,jeep,grand cherokee,0
384,13000,2006,dodge,magnum,124000
385,40517,2021,jeep,wrangler,20925
386,27880,2019,mercedes-benz,e-class,90684
387,14595,2016,mazda,mazda3,105820
388,35995,2022,chrysler,300,53841
389,61850,2023,jeep,grand cherokee,10370
390,50449,2021,bmw,x3,58364
391,33966,2022,ford,edge,25115
392,48888,2023,bmw,i4,68277
393,38995,2019,audi,a6,106859
394,70158,2022,jeep,wagoneer,789
395,38750,2021,chevrolet,silverado 1500,42989
396,33998,2017,ram,2500,117001
397,55995,2023,ford,f-150,63246
